Parcel_ID,LotSize,PropertyType,ZipCode,Neighborhood,Potential Use,StreetNum,StreetName,StreetSuffix,Address,Location
1300733000,3438,,02121,Roxbury,,101 103,QUINCY,ST,101 103 QUINCY ST,"(42.3139629122511, -71.0779762400862)"
0103364000,8750,,02128,East Boston,,,CONDOR,ST,CONDOR ST,"(42.3824022501882, -71.0351740354741)"
0103366000,8750,,02128,East Boston,,,CONDOR,ST,CONDOR ST,"(42.3823997825261, -71.0344340494042)"
1500673000,3002,,02122,Dorchester,,424 428A,GENEVA,AV,424 428A GENEVA AV,"(42.3007970776626, -71.0667625321726)"
1300681000,2750,,02119,Roxbury,,238,BLUE HILL,AV,238 BLUE HILL AV,"(42.3164881388277, -71.0778137980397)"
1300683000,3613,,02119,Roxbury,,230 232A,BLUE HILL,AV,230 232A BLUE HILL AV,"(42.3167343674285, -71.0778410197235)"
1301302000,6164,,02125,Dorchester,,47,VIRGINIA,ST,47 VIRGINIA ST,"(42.3155811474245, -71.0686967397518)"
1301369000,3537,,02125,Dorchester,,1 3,EVERETT,AV,1 3 EVERETT AV,"(42.3159428363405, -71.0630636901524)"
1302555000,21638,,02125,Dorchester,,,SAVIN HILL,AV,SAVIN HILL AV,"(42.3118351995425, -71.0518825275436)"
1300593000,3200,,02125,Roxbury,,128,HOWARD,AV,128 HOWARD AV,"(42.3158858482689, -71.0751757125509)"
1300594000,2412,,02125,Roxbury,,124 126,HOWARD,AV,124 126 HOWARD AV,"(42.3159695224905, -71.0750979413014)"
0903642000,2898,,02119,Roxbury,,,MILLMONT,ST,MILLMONT ST,"(42.3282621902465, -71.0918429825407)"
0800029000,2247,,02125,Dorchester,,,ROBEY,ST,ROBEY ST,"(42.3210504927804, -71.068407918506)"
0800410000,2812,,02119,Roxbury,,,MARSHFIELD,ST,MARSHFIELD ST,"(42.3230538299797, -71.068994985232)"
0800279000,1500,,02119,Roxbury,,,BURRELL,ST,BURRELL ST,"(42.3238226217586, -71.0686040651567)"
0800280000,1596,,02119,Roxbury,,,BURRELL,ST,BURRELL ST,"(42.3237961953861, -71.0686865294604)"
0800285000,1872,,02119,Roxbury,,82,BURRELL,ST,82 BURRELL ST,"(42.3236709519419, -71.0690792001298)"
0903783000,5274,,02119,Roxbury,,2681 2683,WASHINGTON,ST,2681 2683 WASHINGTON ST,"(42.323822272128, -71.0894986980215)"
1301372000,8156,,02125,Dorchester,,11 A,EVERETT,AV,11 A EVERETT AV,"(42.3155756115591, -71.0632088817737)"
1301415000,4095,,02125,Dorchester,,,WINDERMERE,RD,WINDERMERE RD,"(42.315180223524, -71.0625115221421)"
0703788000,4599,,02125,Dorchester,,8,EASTMAN,ST,8 EASTMAN ST,"(42.3191564532983, -71.0637512565342)"
0800579000,2745,,02119,Roxbury,,123 125,GEORGE,ST,123 125 GEORGE ST,"(42.3244603492986, -71.071745895179)"
0800579001,6255,,02119,Roxbury,,127 133R,GEORGE,ST,127 133R GEORGE ST,"(42.3243231335364, -71.0716885606485)"
0800599000,9000,,02119,Roxbury,,,LANGDON,ST,LANGDON ST,"(42.3241886692322, -71.0722017251418)"
0800600000,3000,,02119,Roxbury,,35,LANGDON,ST,35 LANGDON ST,"(42.3242512061019, -71.0720418059332)"
0800601000,6000,,02119,Roxbury,,37 43,LANGDON,ST,37 43 LANGDON ST,"(42.3242997957435, -71.0719199538085)"
1501765000,1933,,02125,Dorchester,,35,COLEMAN,ST,35 COLEMAN ST,"(42.3084360301978, -71.0662941652549)"
1501766000,1933,,02125,Dorchester,,37,COLEMAN,ST,37 COLEMAN ST,"(42.3083962427779, -71.0663454577306)"
1500951000,2111,,02122,Dorchester,,151,BOWDOIN,ST,151 BOWDOIN ST,"(42.3037366568205, -71.0702960970871)"
1500952010,958,,02122,Dorchester,,,TEBROC,ST,TEBROC ST,"(42.303618042243, -71.0702206212266)"
1500495000,4388,,02122,Dorchester,,72,LINDEN,ST,72 LINDEN ST,"(42.3053301902417, -71.0610783385194)"
1501103000,4022,,02122,Dorchester,,51,RIDGEWOOD,ST,51 RIDGEWOOD ST,"(42.3020238093171, -71.0652513406245)"
1502771000,5552,,02125,Dorchester,,24,TRULL,ST,24 TRULL ST,"(42.3116364347486, -71.0667467395176)"
1502475000,8720,,02125,Dorchester,,83,BIRD,ST,83 BIRD ST,"(42.3138495007113, -71.0702045878731)"
1500700000,6216,,02124,Dorchester,,125,WESTVILLE,ST,125 WESTVILLE ST,"(42.3008118298067, -71.067429127306)"
0800405000,2086,,02119,Roxbury,,,MARSHFIELD,ST,MARSHFIELD ST,"(42.3232355808288, -71.0686107871772)"
0800406000,1773,,02119,Roxbury,,,MARSHFIELD,ST,MARSHFIELD ST,"(42.3231940901227, -71.0686857364958)"
0800407000,1813,,02119,Roxbury,,,MARSHFIELD,ST,MARSHFIELD ST,"(42.3231624479185, -71.0687594952017)"
0800408000,1830,,02119,Roxbury,,34,MARSHFIELD,ST,34 MARSHFIELD ST,"(42.3231310801142, -71.0688334549295)"
